Date,Open,High,Low,Close,Adj Close,Volume
1999-01-22,0.043749,0.048829,0.038799,0.041019,0.037629,130305020160
1999-01-25,0.044269,0.045829,0.041019,0.045309,0.041565,24503039040
1999-01-26,0.045829,0.046739,0.041149,0.041799,0.038345,16473599520
1999-01-27,0.041929,0.042969,0.039579,0.041669,0.038226,11729663520
1999-01-28,0.041669,0.041929,0.041279,0.041539,0.038106,10920959520
1999-01-29,0.041539,0.041669,0.039579,0.039579,0.036308,11713535520
1999-02-01,0.039579,0.040629,0.039579,0.040359,0.037024,7425792000
1999-02-02,0.039579,0.040629,0.036069,0.037239,0.034162,12676607520
1999-02-03,0.036719,0.038539,0.036459,0.038019,0.034877,3605760000
1999-02-04,0.038539,0.041149,0.038019,0.040099,0.036785,8732159520
1999-02-05,0.040759,0.041669,0.039709,0.041279,0.037868,6568704000
1999-02-08,0.041539,0.041669,0.039839,0.039839,0.036547,7395840000
1999-02-09,0.040629,0.040889,0.037759,0.038279,0.035116,4174848000
1999-02-10,0.038279,0.039319,0.037239,0.037889,0.034758,7114752000
1999-02-11,0.038019,0.042709,0.038019,0.041149,0.037749,6347520000
1999-02-12,0.041669,0.043749,0.041669,0.043489,0.039895,5266944000
1999-02-16,0.044269,0.046089,0.039319,0.043749,0.040134,10128383520
1999-02-17,0.042709,0.043229,0.040629,0.041409,0.037987,3250944000
1999-02-18,0.042709,0.043229,0.040889,0.042059,0.038583,3393792000
1999-02-19,0.041669,0.044269,0.041149,0.043489,0.039895,3617280000
1999-02-22,0.044269,0.044789,0.041409,0.043749,0.040134,9851903520
1999-02-23,0.044789,0.046739,0.042189,0.045829,0.042042,6628608000
1999-02-24,0.052599,0.054689,0.048309,0.049479,0.045390,29412863040
1999-02-25,0.051559,0.053129,0.047139,0.047919,0.043959,7158528000
1999-02-26,0.048439,0.049999,0.045309,0.045699,0.041923,8285183520
1999-03-01,0.046879,0.047919,0.043749,0.045959,0.042161,4423680000
1999-03-02,0.045829,0.046089,0.044789,0.045569,0.041803,2651904000
1999-03-03,0.045829,0.045829,0.042189,0.042449,0.038941,2946816000
1999-03-04,0.044529,0.044789,0.041149,0.041539,0.038106,2753280000
1999-03-05,0.041929,0.044009,0.041929,0.043879,0.040253,3780864000
1999-03-08,0.042709,0.045829,0.041929,0.044529,0.040849,3642624000
1999-03-09,0.044399,0.046609,0.044399,0.045959,0.042161,6872832000
1999-03-10,0.046479,0.046609,0.044529,0.045179,0.041446,11296511520
1999-03-11,0.044399,0.045179,0.043229,0.043229,0.039657,2605824000
1999-03-12,0.043489,0.043489,0.041669,0.042449,0.038941,4356864000
1999-03-15,0.043489,0.044789,0.043229,0.044269,0.040611,5223168000
1999-03-16,0.044529,0.045049,0.042449,0.042839,0.039299,3799296000
1999-03-17,0.043229,0.044009,0.042059,0.043099,0.039537,2465280000
1999-03-18,0.043229,0.044269,0.042189,0.043619,0.040014,2223360000
1999-03-19,0.043489,0.045049,0.043489,0.043749,0.040134,5054976000
1999-03-22,0.044659,0.044789,0.042449,0.042449,0.038941,1760256000
1999-03-23,0.042709,0.042709,0.039059,0.039839,0.036547,7870463520
1999-03-24,0.039579,0.039839,0.038019,0.039579,0.036308,2921472000
1999-03-25,0.039449,0.041669,0.039319,0.040099,0.036785,1935360000
1999-03-26,0.040629,0.043749,0.040629,0.043619,0.040014,4237056000
1999-03-29,0.044919,0.045959,0.044139,0.044919,0.041207,3165696000
1999-03-30,0.045049,0.045439,0.040889,0.041149,0.037749,3336192000
1999-03-31,0.042449,0.044529,0.040489,0.044009,0.040372,7372800000
1999-04-01,0.044009,0.044269,0.041929,0.042709,0.039180,1460736000
1999-04-05,0.042189,0.043229,0.041149,0.041409,0.037987,4734720000
1999-04-06,0.041799,0.041929,0.039579,0.040359,0.037024,3345408000
1999-04-07,0.040629,0.044009,0.040359,0.043749,0.040134,4285440000
1999-04-08,0.044009,0.045829,0.043489,0.044529,0.040849,6246144000
1999-04-09,0.044789,0.044789,0.043489,0.043749,0.040134,2333952000
1999-04-12,0.043229,0.043229,0.041149,0.041929,0.038464,1598976000
1999-04-13,0.042709,0.042709,0.039579,0.040229,0.036905,1734912000
1999-04-14,0.040099,0.041019,0.039059,0.039059,0.035831,2317824000
1999-04-15,0.040099,0.040099,0.039059,0.040099,0.036785,1721088000
1999-04-16,0.039839,0.042059,0.039839,0.041409,0.037987,1868544000
1999-04-19,0.041929,0.041929,0.039059,0.039579,0.036308,1502208000
1999-04-20,0.039579,0.041149,0.038409,0.038799,0.035593,3248640000
1999-04-21,0.038799,0.039579,0.038539,0.039449,0.036189,1799424000
1999-04-22,0.039579,0.039579,0.037369,0.037759,0.034639,10904831520
1999-04-23,0.037629,0.037759,0.035679,0.035939,0.032969,6050304000
1999-04-26,0.035939,0.036459,0.033329,0.034109,0.031290,5928192000
1999-04-27,0.034899,0.038019,0.034379,0.037759,0.034639,10893311520
1999-04-28,0.038019,0.038019,0.036329,0.037499,0.034400,5764608000
1999-04-29,0.037629,0.037759,0.036719,0.037499,0.034400,2310912000
1999-04-30,0.037889,0.039579,0.037629,0.038019,0.034877,4766976000
1999-05-03,0.038409,0.038409,0.037239,0.038279,0.035116,1624320000
1999-05-04,0.038279,0.038279,0.035419,0.036199,0.033208,4610304000
1999-05-05,0.036459,0.036979,0.034379,0.036979,0.033923,6939648000
1999-05-06,0.036719,0.037499,0.035159,0.036259,0.033263,1709568000
1999-05-07,0.035159,0.036719,0.035159,0.036459,0.033446,1200384000
1999-05-10,0.036199,0.037239,0.036199,0.036459,0.033446,944640000
1999-05-11,0.038019,0.039579,0.037239,0.038409,0.035235,8243711520
1999-05-12,0.038799,0.039709,0.038279,0.039579,0.036308,8087039520
1999-05-13,0.039579,0.040629,0.039449,0.039579,0.036308,3356928000
1999-05-14,0.039579,0.039579,0.036979,0.037499,0.034400,1366272000
1999-05-17,0.036979,0.039319,0.036849,0.039319,0.036070,1716480000
1999-05-18,0.039709,0.041669,0.038539,0.041149,0.037749,7273728000
1999-05-19,0.042969,0.044529,0.038669,0.039319,0.036070,21682943520
1999-05-20,0.039579,0.039579,0.034769,0.036199,0.033208,8552447520
1999-05-21,0.035679,0.035679,0.034379,0.035419,0.032492,14568191520
1999-05-24,0.035679,0.036459,0.034769,0.035289,0.032373,7805952000
1999-05-25,0.035419,0.035939,0.035159,0.035549,0.032611,6243840000
1999-05-26,0.035419,0.037239,0.035419,0.035419,0.032492,5027328000
1999-05-27,0.035679,0.035679,0.035159,0.035159,0.032254,3951360000
1999-05-28,0.035679,0.035679,0.035159,0.035549,0.032611,4255488000
1999-06-01,0.035419,0.035679,0.034899,0.035679,0.032731,4730112000
1999-06-02,0.035679,0.035679,0.034379,0.034379,0.031538,6246144000
1999-06-03,0.035289,0.035549,0.034899,0.035289,0.032373,1995264000
1999-06-04,0.035549,0.035679,0.035289,0.035549,0.032611,3787776000
1999-06-07,0.035739,0.036459,0.035679,0.035939,0.032969,6006528000
1999-06-08,0.036069,0.037499,0.035939,0.036849,0.033804,7358976000
